OPOSSUM                    54113344
HAIRY TAIL MOLE            33114433
COMMON MOLE                32103333
STAR NOSE MOLE             33114433
BROWN BAT                  23113333
SILVER HAIR BAT            23112333
PIGMY BAT                  23112233
HOUSE BAT                  23111233
RED BAT                    13112233
HOARY BAT                  13112233
LUMP NOSE BAT              23112333
ARMADILLO                  00000088
PIKA                       21002233
SNOWSHOE RABBIT            21003233
BEAVER                     11002133
MARMOT                     11002133
GROUNDHOG                  11002133
PRAIRIE DOG                11002133
GROUND SQUIRREL            11002133
CHIPMUNK                   11002133
GRAY SQUIRREL              11001133
FOX SQUIRREL               11001133
POCKET GOPHER              11001133
KANGAROO RAT               11001133
PACK RAT                   11000033
FIELD MOUSE                11000033
MUSKRAT                    11000033
BLACK RAT                  11000033
HOUSE MOUSE                11000033
PORCUPINE                  11001133
GUINEA PIG                 11001133
COYOTE                     13114433
WOLF                       33114423
FOX                        33114423
BEAR                       33114423
CIVET CAT                  33114422
RACCOON                    33114432
MARTEN                     33114412
FISHER                     33114412
WEASEL                     33113312
MINK                       33113312
FERRER                     33113312
WOLVERINE                  33114412
BADGER                     33113312
SKUNK                      33113312
RIVER OTTER                33114312
SEA OTTER                  32113312
JAGUAR                     33113211
OCELOT                     33113211
COUGAR                     33113211
LYNX                       33113211
FUR SEAL                   32114411
SEA LION                   32114411
WALRUS                     10113300
GREY SEAL                  32113322
ELEPHANT SEAL              21224411
PECCARY                    23113333
ELK                        04103333
DEER                       04003333
MOOSE                      04003333
REINDEER                   04103333
ANTELOPE                   04003333
BISON                      04003333
MOUNTAIN GOAT              04003333
MUSKOX                     04003333
MOUNTAIN SHEEP             04003333
